PC1,PC2,target_fraud
-5741.746308902189,-6032.0061587929395,0
-9423.843953819001,1092.003727393756,1
-10396.06849229147,6490.16939893286,0
-8958.287163262117,2286.3758962630036,0
27053.255537391866,-10843.347448118799,0
465.71787013293397,5090.112582742193,0
-12584.591017141878,-3897.9117965355467,1
5023.488832561885,11874.647902049106,0
-13103.811284489535,-1858.4726212060207,0
1879.5752821251554,6843.440000463324,0
26621.242396214206,5144.036824647577,1
-14360.01890428104,-1724.5124627712455,0
-12743.602749977028,-446.3882480538382,1
22369.82428331746,-9863.629788899476,1
30261.256387269867,-9727.109325790672,0
-97.698236262504,19845.476056954423,0
16492.471753434776,-4060.0051449118655,0
-1891.262230042752,5305.371260830423,0
-9253.683105688679,-2007.2091319144065,1
-8470.967654869386,-3295.663570498965,0
2700.6270003680293,11828.27519181233,0
-12307.994523018137,1223.7469651729853,0
-8255.288762153628,-2341.993218435254,0
-8295.956036290583,-1085.5574584737674,0
-6499.038494326562,-3770.7913604351675,0
-6954.74680357582,11106.855190851275,0
-8222.07649205594,2798.153104542609,0
-1013.4430488590897,2379.578524431822,0
-2268.3033529037657,1946.8449531767337,0
-1758.8009262848645,-1179.8558722037108,0
6995.852656749357,2441.0808355472564,0
-7800.381557294342,-5446.2818359954545,1
-380.2550338925921,92.39519383654806,0
-14230.323788094081,-2178.3873262084317,0
-6490.681705186322,-3212.9508023293647,0
-9747.561670515297,-1859.4194529407962,0
-10325.248657631288,2583.3922212049865,0
-8377.856255071942,-4051.702981163298,0
7720.599788510295,-1439.2175208069057,0
1373.0235135397688,-3721.1536589957686,0
-11643.315252490624,-3224.4110252261967,0
6890.5626648306425,1885.597066077581,0
-4700.6533972329125,-6514.523201166937,1
-14522.670364149479,-2290.7316265636355,0
1320.2949377251025,-5522.026783934689,0
5142.48442067701,2035.3411912659758,0
-5086.476920922165,-5092.879850417048,1
27529.070786158016,1139.004392021253,0
23167.170581003746,-7612.969209055252,0
8751.022008163516,-7872.6681604920195,0
-8128.339545108812,-5001.211179658525,0
-957.5666815040495,-3109.0482604656154,1
1974.169251561194,2091.748699426521,0
2559.735685102056,-5847.829404757982,0
-6939.948435191302,13416.962972871766,0
4624.714345218596,16705.281416178,0
16596.785624559798,-5924.0695594387735,0
-10728.919808138844,-714.9046113985582,0
13098.798866185734,4603.700959084637,0
-8406.843379300792,-4611.332682212078,0
-3214.0463522548853,-5585.917438925631,1
-6040.342201656831,-196.77435211985994,0
-12116.57889511344,3722.3683230551096,0
-9378.056990639456,6885.270366037139,0
14657.955387455975,-10931.256963743775,0
-3446.412553750284,-6787.445502915174,0
-7652.204788277338,322.4316536866763,0
16585.630703964423,-4745.617053676957,0
6038.745836783564,-3166.545418392614,0
-12495.262544470692,1101.5171393551427,0
-5880.771847103148,6810.347914436899,0
19543.42734194312,-5163.882429202085,0
1923.0223549689654,9536.35937277486,0
1789.194108858108,15658.517339137845,1
-12150.66919053428,3629.3953673795822,0
-1749.4002545627718,823.7337874677328,1
250.44569444940862,-5328.041407487313,1
4697.120311193434,-3802.745379764903,0
-10512.518833758879,-639.8074582308459,1
6994.317450303224,-2710.50811473896,0
8965.815963777026,-1778.8853471541402,0
-11168.626728235551,3717.0078649508996,0
-6854.065467334488,9473.504042570488,0
-10741.695889121038,-2093.783088967292,0
-7129.4911503037965,253.2363526279919,0
10790.543545471559,1555.3801326356943,0
-5428.705290960594,-4370.602346730392,0
-6044.45234487483,7407.125993602063,0
20317.929451981356,2502.3625640512982,1
-3838.578759038397,-1271.5960429725264,0
1370.0790465895298,9435.855254251794,0
-12652.931260693329,-1048.2638676631068,0
432.2095410782622,-972.6456309127061,0
-6102.288898552641,-6188.197753668881,1
5557.546678420782,34.09005667568954,0
-7470.554167347886,-1650.1315262121218,0
-10785.470975609467,-2479.967034606272,0
12373.0071289613,-7215.311453204572,0
-5282.451659048695,-4085.388275830879,0
-4092.174148328131,5485.417160342342,0
-8511.303205607182,5141.321540286957,0
12102.611376231987,-6208.763238137661,0
-11051.344612502233,1286.4630669796961,0
-3417.3580222696455,1191.661293430533,0
-3625.878306949742,-974.962156118193,0
-13980.354556709257,-997.5006726313509,0
-11725.960082908645,-2558.6889391132186,0
3554.2907943293103,9961.672206239822,0
-5835.549119991518,-3062.2186729311798,0
-10040.401794401576,8265.113313538992,0
-256.6722433278592,6230.231110440975,0
-12672.914418259108,-2169.6058870580564,0
-9903.267200934479,-4136.681991184854,0
-5105.745535005966,-2391.7618448743387,0
-9337.202737471425,-2036.436489744833,0
-14659.278300632175,-3092.170736259237,0
-8986.19977149061,211.02277161685106,0
-12714.421901789858,-2172.1552174351195,0
-7396.373513818539,16277.695023822831,0
-14839.965041831942,-2910.1400783771533,1
19486.16318333579,9573.638953288624,0
-4213.496743131711,12973.014642403119,0
2943.9452050328255,7948.164789728511,0
5230.101245965918,-6464.444164826873,1
-5144.55474451028,-938.9827558631455,0
-502.3945896586429,-4464.421660824865,0
24533.255556058408,76.95447030688683,0
15654.55756800808,-10635.249764732158,1
8484.529011872877,4337.233992323394,0
-3705.7644504121126,15101.51800262776,0
336.9927112912301,143.88197408774795,0
